GPS-Reading took: 0.001000 [s] 	 Scanning took 4.556000 [s] 	 Evaluation took 0.073000 [s] 	 Writing to file took: 0.042000 [s]
GPS-Reading took: 0.004000 [s] 	 Scanning took 4.583000 [s] 	 Evaluation took 0.071000 [s] 	 Writing to file took: 0.051000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.579000 [s] 	 Evaluation took 0.121000 [s] 	 Writing to file took: 0.040000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.725000 [s] 	 Evaluation took 2.998000 [s] 	 Writing to file took: 0.013000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.559000 [s] 	 Evaluation took 0.009000 [s] 	 Writing to file took: 0.031000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.557000 [s] 	 Evaluation took 0.081000 [s] 	 Writing to file took: 0.040000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.581000 [s] 	 Evaluation took 0.054000 [s] 	 Writing to file took: 0.020000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.527000 [s] 	 Evaluation took 0.055000 [s] 	 Writing to file took: 0.027000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.620000 [s] 	 Evaluation took 0.052000 [s] 	 Writing to file took: 0.043000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.609000 [s] 	 Evaluation took 0.057000 [s] 	 Writing to file took: 0.057000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.589000 [s] 	 Evaluation took 0.050000 [s] 	 Writing to file took: 0.031000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.623000 [s] 	 Evaluation took 0.054000 [s] 	 Writing to file took: 0.028000 [s]
